method,count,category
clustering,2,Unsupervised Learning
gradient boosting,7,Traditional ML
other,8,Other / Unclassified
logistic regression,6,Traditional ML
rf,17,Traditional ML
knn,2,Traditional ML
naive bayes,1,Bayesian / Probabilistic
neural network,12,Deep Learning
svm,4,Traditional ML
xgboost,3,Traditional ML
cnn,13,Deep Learning
linear regression,3,Traditional ML
mlp,6,Deep Learning
decision tree,1,Traditional ML
transformer,6,Deep Learning
gnn,3,Deep Learning
lstm,1,Deep Learning
ann,2,Deep Learning
ridge regression,1,Statistical Methods
autoencoder,1,Deep Learning
regression,1,Statistical Methods
